internal_id,bartlett_id,common_name,genus,latitude,longitude,color_code
1533,810322,Spruce-Norway,Picea,41.688391812,-73.894138957,009b04
1537,810326,Oak-Northern Red,Quercus,41.687910232,-73.893297499,009b04
1547,810336,Fir-Fraser,Abies,41.687700651,-73.893741251,009b04
1558,810347,Beech-European,Fagus,41.687374906,-73.893436221,009b04
1577,810366,Oak-Black,Quercus,41.687195537,-73.893430423,009b04
1587,810376,Magnolia-Star,Magnolia,41.686522672,-73.894344984,009b04
1593,810382,Pine-Eastern White,Pinus,41.686698315,-73.894220267,009b04
1622,811011,Spruce-Norway,Picea,41.686026207,-73.893807986,009b04
1626,811015,Spruce-Norway,Picea,41.686179963,-73.893791372,009b04
1627,811016,Spruce-Norway,Picea,41.686229350,-73.893764330,009b04
1628,811017,Spruce-Norway,Picea,41.686266446,-73.893757593,009b04
1633,811022,Douglas Fir,Pseudotsuga,41.686403108,-73.894285397,009b04
1648,811037,Ginkgo,Ginkgo,41.686062254,-73.895005425,009b04
1649,811038,Chestnut-Chinese,Castanea,41.686075868,-73.895154407,009b04
1660,811049,Crabapple,Malus,41.687556334,-73.895621130,009b04
1668,811057,Pine-Eastern White,Pinus,41.687070119,-73.894602495,009b04
1675,811064,Spruce-Norway,Picea,41.686825175,-73.894492495,009b04
1745,811451,Maple-Norway,Acer,41.685753236,-73.893122764,009b04
1751,811457,Maple-Red,Acer,41.685532291,-73.893103931,009b04
1755,811461,Walnut-Black,Juglans,41.685156607,-73.893159891,009b04
1766,811472,Spruce-Norway,Picea,41.685588755,-73.893341064,009b04
1796,811502,Magnolia,Magnolia,41.685839482,-73.894961288,009b04
1804,811510,Pine-Eastern White,Pinus,41.685517210,-73.894409611,009b04
1806,811512,Magnolia-Saucer,Magnolia,41.685472915,-73.894478734,009b04
1814,811520,Pine-Eastern White,Pinus,41.685144433,-73.894140426,009b04
1816,811522,Redbud-Eastern,Cercis,41.684910576,-73.894175078,009b04
1826,812368,Cherry,Prunus,41.684671128,-73.895114651,ffff00
1831,812373,Spruce-Norway,Picea,41.684484564,-73.894725987,009b04
1849,812391,Yellowwood-American,Cladrastis,41.684587161,-73.894281647,ffff00
1851,812393,Japanese Umbrella Pine,Sciadopitys,41.684614713,-73.894218101,009b04
1853,812395,Magnolia,Magnolia,41.684645425,-73.894191994,009b04
1864,812406,Japanese Umbrella Pine,Sciadopitys,41.684747562,-73.894266566,ffff00
1876,812418,Douglas Fir,Pseudotsuga,41.684985577,-73.894056298,ffff00
1877,812419,Spruce-Norway,Picea,41.685042099,-73.894064986,009b04
1878,812420,Arborvitae-White Cedar,Thuja,41.685109150,-73.894068618,009b04
1883,812425,Hemlock-Canadian,Tsuga,41.684990179,-73.893757790,009b04
1884,812426,Spruce-Norway,Picea,41.685010281,-73.893720687,009b04
1897,812439,Hemlock-Canadian,Tsuga,41.684948349,-73.893515183,ffff00
1899,812441,Beech-European,Fagus,41.684888056,-73.893517603,009b04
1900,812442,Hemlock-Canadian,Tsuga,41.684791700,-73.893617942,ffff00
1904,812446,Hemlock-Canadian,Tsuga,41.684691216,-73.893559610,009b04
1911,812453,Spruce-Norway,Picea,41.684695340,-73.893478011,009b04
1920,812462,Hemlock-Canadian,Tsuga,41.684332717,-73.893551765,ffff00
1923,812465,Hemlock-Canadian,Tsuga,41.684275793,-73.893575878,ff0000
1942,812484,Hemlock-Canadian,Tsuga,41.683957944,-73.894169952,ffff00
1965,813122,Hemlock-Canadian,Tsuga,41.684159091,-73.894489253,ffff00
1992,813149,Asiatic Sweetleaf,Symplocos,41.684263655,-73.894755734,009b04
1993,813152,Spruce-Norway,Picea,41.684184051,-73.894844786,009b04
1997,813151,Common Baldcypress,Taxodium,41.683827349,-73.893939888,009b04
1999,813154,Common Baldcypress,Taxodium,41.683741517,-73.893924283,009b04
2002,813157,Common Baldcypress,Taxodium,41.683748879,-73.894088723,009b04
2019,813174,Willow,Salix,41.683867299,-73.894975844,ffff00
2042,813099,Spruce-Norway,Picea,41.681427600,-73.893533196,009b04
2053,813110,Maple-Paperbark,Acer,41.681115874,-73.893303130,009b04
2059,813116,Spruce-Norway,Picea,41.681268671,-73.892842348,009b04
2126,817600,Crabapple,Malus,41.683173027,-73.892244996,009b04
2137,817611,Crabapple,Malus,41.683202804,-73.891822658,ffff00
2151,817625,Crabapple,Malus,41.683631707,-73.891733435,009b04
2157,817631,Crabapple,Malus,41.683725380,-73.892149398,009b04
2159,817633,Crabapple,Malus,41.683668117,-73.891983192,009b04
2168,817642,Crabapple,Malus,41.683855512,-73.892036986,ff0000
2183,817657,Crabapple,Malus,41.684259776,-73.891622984,009b04
2224,823608,Hawthorn,Crataegus,41.683915612,-73.891446553,ffff00
2226,823610,Crabapple,Malus,41.683831316,-73.891282286,ffff00
2231,823615,Hickory-Pignut,Carya,41.683698873,-73.891170812,009b04
2235,823619,Oak-Northern Red,Quercus,41.683400460,-73.890832791,009b04
2237,823621,Oak-Northern Red,Quercus,41.683380935,-73.890565311,009b04
2239,823623,Oak-Northern Red,Quercus,41.683405268,-73.890438895,009b04
2243,823627,Pine-Austrian,Pinus,41.683518946,-73.890385121,009b04
2265,823649,Douglas Fir,Pseudotsuga,41.684328590,-73.890348518,ffff00
2279,823663,Arborvitae-White Cedar,Thuja,41.684610878,-73.890259084,009b04
2281,823665,Arborvitae-White Cedar,Thuja,41.684674982,-73.890281334,009b04
2282,823666,Arborvitae-White Cedar,Thuja,41.684679803,-73.890249908,009b04
2283,823667,Arborvitae-White Cedar,Thuja,41.684699163,-73.890291448,009b04
2297,823681,Crabapple,Malus,41.685407559,-73.890563481,009b04
